match_id,link,wp_link
12/02/2021,Day Session,Court 3,1,,MD211,Purcell,Max,AUS,Luke,Saville,AUS,Ebden,Matthew,AUS,John-Patrick,Smith,AUS,15,0,https://wsczoominwestus.azureedge.net/dynamicassets/75eb88b1-bcb5-4523-b93b-79a019762c20.png,https://www.tennis.com.au/doc/ao2021-md211
12/02/2021,Day Session,Court 3,2,12:30,MD207,Peers,John,AUS,Michael,Venus,NZL,Nam,Ji Sung,KOR,Min-Kyu,Song,KOR,10,0,https://wsczoominwestus.azureedge.net/dynamicassets/b3f53cb0-2cbd-4022-a199-fc0f3bfbd146.png,https://www.tennis.com.au/doc/ao2021-md207
12/02/2021,Day Session,Court 3,3,,WD209,Dabrowski,Gabriela,CAN,Bethanie,Mattek-Sands,USA,Gauff,Coco,USA,Catherine,McNally,USA,6,0,https://wsczoominwestus.azureedge.net/dynamicassets/140c8cd2-e34e-405d-ae31-afe469facfb9.png,https://www.tennis.com.au/doc/ao2021-wd209
12/02/2021,Day Session,Court 3,4,15:30,MS303,Martinez,Pedro,ESP,,,,Lajovic,Dusan,SRB,,,,0,23,https://wsczoominwestus.azureedge.net/dynamicassets/16988765-5f19-483f-9136-450c99022a29.png,https://www.tennis.com.au/doc/ao2021-ms303
12/02/2021,Day Session,Court 7,1,,WD204,Barthel,Mona,GER,Lin,Zhu,CHN,Krunic,Aleksandra,SRB,Martina,Trevisan,ITA,0,0,https://wsczoominwestus.azureedge.net/dynamicassets/3f0fb273-bc31-4f70-b2f3-cba522a7edda.png,https://www.tennis.com.au/doc/ao2021-wd204
12/02/2021,Day Session,Court 7,2,,XD105,Chan,Hao-Ching,TPE,Juan Sebastian,Cabal,COL,Krawczyk,Desirae,USA,Joe,Salisbury,GBR,4,0,https://www.tennis.com.au/doc/ao2021-placeholder,https://www.tennis.com.au/doc/ao2021-xd105
12/02/2021,Day Session,Court 7,3,,WD216,Barty,Ashleigh,AUS,Jennifer,Brady,USA,Mertens,Elise,BEL,Aryna,Sabalenka,BLR,0,2,https://wsczoominwestus.azureedge.net/dynamicassets/60b820e0-2617-4177-a9c4-36ce438da10a.png,https://www.tennis.com.au/doc/ao2021-wd216
12/02/2021,Day Session,Court 7,4,,WD205,Krejcikova,Barbora,CZE,,,,Siniakova,Katerina,CZE,,,,3,3,https://wsczoominwestus.azureedge.net/dynamicassets/0a0d1896-ca13-4cd9-bfcd-bc115ae1e119.png,https://www.tennis.com.au/doc/ao2021-wd205
12/02/2021,Day Session,Court 8,1,,WD213,Aoyama,Shuko,JPN,Ena,Shibahara,JPN,Cabrera,Lizette,AUS,Maddison,Inglis,AUS,7,0,https://wsczoominwestus.azureedge.net/dynamicassets/922f7974-f988-4031-8abd-ad105a2557d5.png,https://www.tennis.com.au/doc/ao2021-wd213
12/02/2021,Day Session,Court 8,2,,MD203,Bolelli,Simone,ITA,Maximo,Gonzalez,ARG,Sonego,Lorenzo,ITA,Andrea,Vavassori,ITA,0,0,https://wsczoominwestus.azureedge.net/dynamicassets/d1e4467e-9534-4dc4-bf72-c5a4b2603223.png,https://www.tennis.com.au/doc/ao2021-md203
